id,symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,created_at,updated_at,pattern_signals,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Anomaly,RSI_Signal,KD_Signal,SR_Signal,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
654,9950,2025-03-11,13.8,13.8,13.45,13.6,48008,13.2375,20.1997,27.9008,34.4513,40.3496,-0.1221,-0.0722,-0.0498,13.0435,18.9638,28.1314,0.6287,13.83,14.015,14.09,14.3733,13.9575,14.0796,14.487,14.09,13.693,0.2569,-147.7583,-86.9565,-0.6,2025-06-25 22:29:13.816666,2025-07-03 14:55:21.226666,"捉腰帶線,Hikkake 陷阱",,突破下軌,,偏空,,,接近超賣,,接近支撐位,,,CCI超賣,WILLR超賣,,3.0999999999999996,0.5,買入,多頭3.1分
655,9950,2025-03-12,13.6,13.9,13.6,13.6,30000,13.2375,20.1997,27.9008,34.4513,40.3496,-0.1415,-0.0861,-0.0554,14.2857,17.4044,24.5557,3.1019,13.75,13.935,14.065,14.3858,13.9025,14.0441,14.5157,14.065,13.6143,0.26,-101.7463,-86.9565,-0.8,2025-06-25 22:29:13.816666,2025-07-03 14:55:21.226666,"十字,墓碑十字,孕線,十字孕線,長腿十字",,突破下軌,,偏空,,,接近超賣,,接近支撐位,,,CCI超賣,WILLR超賣,,3.0999999999999996,0.5,買入,多頭3.1分
656,9950,2025-03-13,13.5,13.85,13.5,13.55,52000,11.5223,18.4669,26.3959,33.3021,39.6041,-0.1592,-0.1007,-0.0585,13.3333,16.0474,21.7196,4.703,13.68,13.85,14.035,14.3958,13.8483,14.0075,14.5361,14.035,13.5339,0.2664,-105.0342,-91.3043,-0.85,2025-06-25 22:29:13.820000,2025-07-03 14:55:21.230000,倒錘頭,,,,偏空,,,接近超賣,,接近支撐位,,,CCI超賣,WILLR超賣,,2.1,0.5,,
657,9950,2025-03-14,13.55,13.6,13.4,13.6,34050,23.8553,25.8843,30.5576,35.6151,40.7534,-0.1672,-0.114,-0.0532,30.7692,20.9547,21.4646,19.9348,13.63,13.78,14.01,14.41,13.8101,13.9773,14.5444,14.01,13.4756,0.2617,-117.341,-83.3333,-0.7,2025-06-25 22:29:13.820000,2025-07-03 14:55:21.230000,,,,,偏空,,,,,接近支撐位,,,CCI超賣,WILLR超賣,,1.7000000000000002,0.5,,
658,9950,2025-03-17,13.75,13.9,13.65,13.65,43000,35.154,32.9958,34.6624,37.9331,41.9141,-0.1676,-0.1247,-0.0429,38.4615,26.7903,23.2399,33.8912,13.6,13.75,13.9825,14.4242,13.7855,13.953,14.5314,13.9825,13.4336,0.2644,-54.0958,-79.1667,-0.3,2025-06-25 22:29:13.820000,2025-07-03 14:55:21.230000,光腳,,,,偏空,,,,K上穿D,接近支撐位,,,,,,1.0,0.5,,
659,9950,2025-03-18,13.65,13.65,13.6,13.6,18000,29.6538,29.674,32.5261,36.5173,41.0693,-0.17,-0.1338,-0.0362,33.3333,28.9713,25.1503,36.6132,13.6,13.715,13.955,14.4167,13.7569,13.9269,14.5224,13.955,13.3876,0.2491,-83.3625,-83.3333,-0.35,2025-06-25 22:29:13.820000,2025-07-03 14:55:21.230000,短蠟燭,,,,偏空,,,,,接近支撐位,,,,WILLR超賣,,0.8,0.5,,
660,9950,2025-03-19,13.75,13.75,13.55,13.55,17000,24.8029,26.555,30.4415,35.1062,40.2182,-0.1739,-0.1418,-0.0321,27.2727,28.4051,26.2353,32.7448,13.59,13.67,13.925,14.4025,13.7251,13.899,14.5111,13.925,13.3389,0.2456,-74.3405,-87.5,-0.45,2025-06-25 22:29:13.823333,2025-07-03 14:55:21.233333,"捉腰帶線,光腳,長蠟燭,下跌光頭光腳",,,,偏空,,,,,接近支撐位,,,,WILLR超賣,,0.8,0.5,,
661,9950,2025-03-20,13.65,13.65,13.5,13.5,30161,20.5923,23.6544,28.4179,33.7036,39.3616,-0.179,-0.1492,-0.0297,20.0,25.6034,26.0246,24.7609,13.58,13.63,13.8925,14.3808,13.6905,13.8694,14.4969,13.8925,13.2881,0.2388,-94.7195,-91.6667,-0.4,2025-06-25 22:29:13.823333,2025-07-03 14:55:21.233333,"捉腰帶線,光腳,長蠟燭,下跌光頭光腳",,,,偏空,,,接近超賣,K下穿D,接近支撐位,,,,WILLR超賣,,1.2000000000000002,1.5,,
662,9950,2025-03-21,13.55,13.7,13.5,13.6,25153,44.2523,39.1607,37.6314,38.9564,41.9575,-0.1729,-0.154,-0.019,40.0,30.4023,27.4839,36.2391,13.58,13.605,13.865,14.36,13.6765,13.8495,14.4701,13.865,13.2599,0.236,-62.8704,-83.3333,-0.25,2025-06-25 22:29:13.823333,2025-07-03 14:55:21.233333,"孕線,紡錘線",,,,偏空,,,,K上穿D,,,,,WILLR超賣,,1.8,0.5,,
663,9950,2025-03-24,13.6,13.7,13.6,13.6,39000,44.2523,39.1607,37.6314,38.9564,41.9575,-0.1662,-0.1564,-0.0098,40.0,33.6015,29.5231,41.7584,13.57,13.585,13.83,14.3342,13.6648,13.831,14.4109,13.83,13.2491,0.2263,-38.6546,-83.3333,-0.2,2025-06-25 22:29:13.823333,2025-07-03 14:55:21.236666,"十字,墓碑十字,長腿十字",,,,偏空,,,,,,,,,WILLR超賣,,0.8,0.5,,
