symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Return,ZScore,Anomaly,RSI_Signal,KD_Signal,SR_Signal,vol_ma,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
2317,2019-06-11,72.1,72.8,71.9,72.4,27727014,50.7246,43.3995,38.2326,36.9636,38.9228,-2.4595,-2.6234,0.1639,47.9167,38.9093,35.692,45.3439,71.68,72.25,73.445,79.025,72.8126,75.2721,78.0682,73.445,68.8218,1.6614,8.0389,-77.8846,1.0,,,,偏空,,0.004160887656033507,-1.045323861055836,,,,,48190120.5,,,CCI上穿零軸,,,0.9,0.5,,
2317,2019-06-12,72.5,73.9,72.0,73.7,40554559,66.5603,56.1281,47.4781,43.3551,42.8762,-2.2065,-2.5401,0.3335,69.2308,49.0164,40.1335,66.7824,72.06,72.5,73.145,79.0683,72.9491,75.1557,76.7784,73.145,69.5116,1.6785,101.0163,-56.6265,2.5,,,,偏多,,0.017955801104972302,-0.7583304607013798,,,,,47281412.6,,,CCI超買,,,0.5,0.9,,
2317,2019-06-13,73.6,74.4,73.2,74.2,42030922,71.0354,60.1494,50.6358,45.6382,44.3314,-1.9433,-2.4207,0.4774,82.0513,60.0281,46.765,86.5542,72.7,72.7,72.965,79.1283,73.1416,75.0849,75.9585,72.965,69.9715,1.6443,137.8323,-50.0,2.0,,,,偏多,,0.006784260515603879,-0.5170705199703639,,,,,45935217.35,,,CCI超買,,,0.5,0.9,,
2317,2019-06-14,74.2,75.5,74.2,75.1,40758143,77.7386,66.5819,55.9343,49.5777,46.8885,-1.6431,-2.2652,0.6221,91.1111,70.3891,54.6397,101.8878,73.5,72.87,72.925,79.18,73.4429,75.086,75.7787,72.925,70.0713,1.6197,168.3866,-28.5714,1.7,突破MA20,,,偏多,,0.012129380053908179,-0.22911387811753386,,,,接近壓力位,44919577.15,,,CCI超買,,,2.0,0.9,,
2317,2019-06-17,75.6,76.5,75.2,76.4,33117649,84.2993,73.7282,62.4099,54.6858,50.3476,-1.2855,-2.0693,0.7837,98.1818,79.6533,62.9776,113.0048,74.36,73.12,73.01,79.2483,73.8978,75.1833,76.1564,73.01,69.8636,1.604,189.3678,-1.5625,2.5,,突破上軌,,偏多,,0.017310252996005415,0.03181696690040671,,,,接近壓力位,44071288.2,,,CCI超買,WILLR超買,,0.5,2.7,,
2317,2019-06-18,77.2,77.5,75.1,75.9,36656969,73.8374,67.2729,58.7221,52.4835,49.0573,-1.0306,-1.8615,0.8309,75.3846,78.2304,68.0618,98.5676,75.06,73.37,73.055,79.3067,74.2058,75.2364,76.3368,73.055,69.7732,1.6609,156.0618,-21.6216,2.5,,,,偏多,,-0.00654450261780104,-0.05138151046353232,,,,接近壓力位,44347119.9,,,CCI超買,,,0.5,0.9,,
2317,2019-06-19,77.4,77.4,76.4,77.2,49543345,81.3569,74.1408,64.7409,57.2986,52.3885,-0.7154,-1.6323,0.9169,95.3846,83.9485,73.3574,105.1307,75.76,73.91,73.165,79.3767,74.6665,75.3819,76.8258,73.165,69.5042,1.6494,154.503,-4.0541,5.4,,突破上軌,,偏多,,0.017127799736495364,0.08355507727470284,,,,接近壓力位,44991204.15,,,CCI超買,WILLR超買,,0.5,2.7,,
2317,2019-06-20,77.3,77.8,76.8,77.7,26823796,83.6202,76.3662,66.8091,59.0187,53.6134,-0.4204,-1.3899,0.9695,98.4848,88.7939,78.5029,109.376,76.46,74.58,73.35,79.455,75.1332,75.5536,77.5019,73.35,69.1981,1.603,137.4314,-1.2987,6.7,,突破上軌,,偏多,,0.006476683937823857,0.2396227669213599,,,,接近壓力位,44801485.1,,,CCI超買,WILLR超買,,0.5,2.7,,
2317,2019-06-21,78.2,78.8,76.6,76.8,58532183,65.6794,64.6773,59.7943,54.744,51.1273,-0.2563,-1.1632,0.9069,71.0145,82.8675,79.9578,88.6869,76.8,75.15,73.615,79.5483,75.3896,75.6459,77.9339,73.615,69.2961,1.6456,108.411,-22.9885,5.7,,,,偏多,,-0.011583011583011671,0.4145253517258123,,,,接近壓力位,44605128.9,,,CCI超買,,,0.5,0.9,,
2317,2019-06-24,76.4,77.2,75.3,77.1,28060800,68.4958,66.6618,61.2993,55.8908,51.9078,-0.1009,-0.9507,0.8499,75.0,80.245,80.0535,80.6279,76.94,75.65,73.9,79.6367,75.6527,75.7536,78.347,73.9,69.453,1.6638,67.7457,-19.5402,5.0,,,,偏多,,0.00390625,0.45631814223003736,,,KD超買,接近壓力位,43965950.95,,,,WILLR超買,,0.5,1.8,,
2317,2019-06-25,77.0,77.4,76.1,76.4,21534885,55.2678,57.8191,55.8767,52.5449,49.9532,-0.0338,-0.7673,0.7336,57.1429,72.5443,77.5504,62.532,77.04,76.05,74.15,79.7117,75.7677,75.8015,78.5688,74.15,69.7312,1.6378,62.1803,-27.5862,4.0,,,,偏多,,-0.009079118028534228,0.384790845946167,,,K下穿D,,43772229.2,,,,,,0.5,1.0,,
2317,2019-06-26,76.1,76.7,76.1,76.3,17510518,53.4254,56.5685,55.103,52.0653,49.6727,0.0112,-0.6116,0.6228,45.6522,63.5802,72.8937,44.9533,76.86,76.31,74.405,79.7867,75.8496,75.8384,78.7003,74.405,70.1097,1.5637,46.3902,-28.7356,2.6,,,,偏多,,-0.0013089005235603635,0.39654688395927157,,,,,37812752.15,,EMA黃金交叉,,,,1.8,0.0,,
2317,2019-06-27,76.8,77.9,76.7,77.4,30881055,68.064,66.005,61.6016,56.7419,52.7386,0.134,-0.4625,0.5965,62.1622,63.1075,69.6316,50.0593,76.8,76.63,74.665,79.8517,76.0881,75.9541,79.024,74.665,70.306,1.5663,75.3133,-17.9487,3.2,,,,偏多,,0.014416775884665833,0.39947625905468587,,,,,37163238.1,,,,WILLR超買,,0.5,0.8,,
2317,2019-06-28,77.6,78.2,77.4,77.4,21112390,68.064,66.005,61.6016,56.7419,52.7386,0.2287,-0.3243,0.553,62.1622,62.7924,67.3519,53.6734,76.92,76.86,74.865,79.795,76.29,76.0612,79.339,74.865,70.391,1.5115,87.3952,-17.9487,2.3,,,,偏多,,0.0,0.2685363015520381,,,,,35985523.25,,,,WILLR超買,,0.5,0.8,,
2317,2019-07-01,78.7,79.7,78.6,79.4,37776031,83.1286,77.8923,71.018,64.1228,57.8818,0.4599,-0.1674,0.6273,93.1818,72.9222,69.2087,80.3493,77.38,77.16,75.14,79.7517,76.7684,76.3085,80.0023,75.14,70.2777,1.5679,166.6465,-3.4483,3.0,,,,偏多,,0.025839793281653645,0.4184415437789498,,,K上穿D,接近壓力位,35255599.45,,,CCI超買,WILLR超買,,1.5,1.7000000000000002,,
2317,2019-07-02,79.0,79.5,78.7,79.1,21546017,76.3737,73.4006,68.2294,62.4028,56.9064,0.6118,-0.0116,0.6234,86.3636,77.4027,71.94,88.328,77.92,77.48,75.425,79.705,77.1271,76.5153,80.509,75.425,70.341,1.513,144.775,-6.8966,3.2,,,,偏多,,-0.0037783375314862644,0.44197821942315035,,,,接近壓力位,34798347.15,,,CCI超買,WILLR超買,,0.5,1.7000000000000002,,
2317,2019-07-03,78.4,78.8,77.5,77.5,30692214,49.5377,54.0186,55.3499,54.0724,51.9994,0.5962,0.11,0.4863,50.0,68.2685,70.7162,63.3731,78.16,77.51,75.71,79.6233,77.1845,76.5882,80.584,75.71,70.836,1.5192,60.5898,-25.2874,0.3,,,,偏多,,-0.020227560050568805,0.4543533685774408,,,K下穿D,,34366848.0,,,,,,0.5,1.0,,
2317,2019-07-04,78.0,78.4,77.5,77.7,14276447,52.164,55.7236,56.4906,54.8832,52.5366,0.5932,0.2066,0.3866,54.5455,63.6941,68.3755,54.3314,78.22,77.51,76.045,79.5433,77.2638,76.6706,80.4792,76.045,71.6108,1.475,46.898,-22.9885,0.0,,,,偏多,,0.002580645161290418,0.5624638795823135,,,,,32677330.35,,,,,,0.5,0.0,,
2317,2019-07-05,77.9,78.3,77.9,78.2,10943297,58.8558,60.0448,59.3737,56.9302,53.8911,0.6239,0.2901,0.3339,58.3333,61.9072,66.2194,53.2828,78.38,77.65,76.4,79.4633,77.4078,76.7839,80.2982,76.4,72.5018,1.4125,60.2151,-17.6471,1.4,,,,偏多,,0.006435006435006496,0.6020641953743328,,,,,31286632.2,,,,WILLR超買,動量轉正,1.1,0.8,,
2317,2019-07-08,78.4,79.0,78.3,79.0,19426333,67.8505,66.2021,63.6552,60.0532,56.0006,0.7047,0.373,0.3317,80.5556,68.1233,66.854,70.6619,78.3,77.84,76.745,79.3833,77.6528,76.948,80.2627,76.745,73.2273,1.3687,102.125,-8.9744,1.9,,,,偏多,,0.010230179028132946,0.5718550114230081,,,K上穿D,接近壓力位,30475228.35,,,CCI超買,WILLR超買,,1.5,1.7000000000000002,,
2317,2019-07-09,79.1,79.1,77.8,77.9,20888735,49.3191,53.0802,54.8275,54.2304,52.5308,0.6723,0.4329,0.2394,40.0,58.7489,64.1523,47.942,78.06,77.99,77.02,79.24,77.6908,77.0186,79.9462,77.02,74.0938,1.3638,47.4273,-23.3766,1.5,,,,偏多,,-0.013924050632911356,0.42937787485496304,,,K下穿D,,30133314.4,,,,,,0.5,1.0,,
2317,2019-07-10,78.7,78.7,77.7,77.9,20106457,49.3191,53.0802,54.8275,54.2304,52.5308,0.6391,0.4741,0.165,21.7391,46.4123,58.239,22.7589,78.14,78.15,77.23,79.05,77.723,77.0838,79.7472,77.23,74.7128,1.3378,27.5306,-27.6923,1.6,,,,偏多,,0.0,0.2879181095326976,,,,,29110909.3,,,,,,0.5,0.0,,
2317,2019-07-11,78.1,78.7,77.8,78.2,20457120,54.6028,56.2958,56.8427,55.5923,53.399,0.6299,0.5053,0.1246,31.8182,41.5476,52.6752,19.2924,78.24,78.23,77.43,78.855,77.7964,77.1665,79.558,77.43,75.302,1.3066,35.3116,-27.2727,0.8,,,,偏多,,0.0038510911424902705,0.2648099536367065,,,,接近壓力位,28032219.2,,,,,,0.5,0.0,,
2317,2019-07-12,78.0,78.2,77.5,77.6,26468868,43.3138,48.5344,51.7159,52.2441,51.4239,0.5675,0.5177,0.0498,5.0,29.3651,44.9051,-1.7151,78.12,78.25,77.555,78.6183,77.7662,77.1986,79.3951,77.555,75.7149,1.2632,-21.5054,-45.6522,0.2,,,,偏多,,-0.007672634271099876,0.1088053129666739,,,,,27317755.45,,,CCI下穿零軸,,,0.5,0.9,,
2317,2019-07-15,77.1,78.2,76.1,78.1,32661975,53.3586,54.6174,55.4374,54.693,52.9468,0.5521,0.5246,0.0275,66.6667,41.7989,43.8697,37.6573,77.94,78.12,77.64,78.3933,77.8175,77.2654,79.4147,77.64,75.8653,1.323,-69.0583,-34.7826,-1.3,,,,偏多,,0.006443298969072142,0.02319304997540368,,,,接近壓力位,27294971.75,,,,,動量轉負,0.5,0.6,,
2317,2019-07-16,78.4,80.8,78.4,80.0,59184035,74.6748,70.2215,66.3787,62.5517,58.178,0.6853,0.5567,0.1286,82.9787,55.5255,47.755,71.0666,78.36,78.21,77.845,78.245,78.1533,77.468,79.7131,77.845,75.9769,1.4214,180.6076,-14.5455,0.9,,突破上軌,,偏多,頂背離,0.02432778489116516,0.26641174684382196,,,K上穿D,接近壓力位,28421325.05,量能異常,,CCI上穿零軸,WILLR超買,動量轉正,3.7,3.8,賣出,空頭3.8分
2317,2019-07-17,80.2,80.4,79.3,79.3,31541667,61.6907,61.1798,60.3164,58.524,55.779,0.726,0.5906,0.1354,68.0851,59.7121,51.7407,75.6548,78.64,78.39,77.95,78.1033,78.3297,77.6037,79.8958,77.95,76.0042,1.3984,132.3913,-27.2727,1.8,,,,偏多,,-0.008750000000000036,0.06254072731200525,,,,接近壓力位,27521241.15,,,CCI超買,,,0.5,0.9,,
2317,2019-07-18,79.2,79.7,79.0,79.0,20198449,56.434,57.4793,57.8026,56.835,54.7629,0.7257,0.6176,0.1081,61.7021,60.3754,54.6189,71.8884,78.8,78.52,78.015,77.9483,78.4328,77.7071,80.0093,78.015,76.0207,1.3485,72.0407,-32.7273,1.3,,,,偏多,,-0.003783102143757877,-0.018288132557426718,,,,接近壓力位,27189973.8,,,,,,0.5,0.0,,
2317,2019-07-19,79.6,80.4,79.3,79.3,24476592,60.6277,60.2821,59.6702,58.1362,55.612,0.7411,0.6423,0.0988,68.0851,62.9453,57.3944,74.0472,79.14,78.63,78.14,77.8217,78.5662,77.8251,80.1274,78.14,76.1526,1.3522,107.6923,-27.2727,1.1,,,,偏多,,0.0037974683544304,0.10288268403687552,,,,接近壓力位,25487194.25,,,CCI超買,,,0.5,0.9,,
2317,2019-07-22,79.5,80.8,79.4,80.6,38577555,74.1211,70.2094,66.7547,63.2989,59.1045,0.8485,0.6836,0.1649,95.7447,73.8784,62.8891,95.8572,79.64,78.79,78.315,77.7183,78.8791,78.0306,80.5107,78.315,76.1193,1.3628,138.8548,-4.2553,1.6,,突破上軌,,偏多,,0.016393442622950838,0.2012595443980315,,,,接近壓力位,26013032.0,,,CCI超買,WILLR超買,,0.5,2.7,,
2317,2019-07-23,81.1,81.4,80.3,80.9,38227545,76.4493,72.0877,68.1876,64.3902,59.8695,0.9468,0.7362,0.2106,90.566,79.441,68.4064,101.5102,79.82,79.09,78.54,77.61,79.19,78.2432,80.8251,78.54,76.2549,1.344,149.2413,-9.434,3.0,,突破上軌,,偏多,,0.0037220843672458592,0.30211024307548645,,,,接近壓力位,26847665.0,,,CCI超買,WILLR超買,,0.5,2.7,,
2317,2019-07-24,81.2,81.5,80.8,81.3,73095922,79.5202,74.5808,70.097,65.8484,60.8938,1.045,0.798,0.247,96.2963,85.0594,73.9574,107.2635,80.22,79.43,78.79,77.5017,79.5146,78.4696,81.1334,78.79,76.4466,1.298,141.1671,-3.7037,3.4,,突破上軌,,偏多,,0.0049443757725586845,0.3513749343121991,,接近超買,,接近壓力位,29626935.2,量能異常,,CCI超買,WILLR超買,,1.2,3.0999999999999996,賣出,空頭3.1分
2317,2019-07-25,78.0,79.3,77.8,78.6,62909028,37.8635,43.784,48.3376,50.7434,51.5658,0.8946,0.8173,0.0773,46.2963,72.1384,73.351,69.713,80.14,79.47,78.85,77.3633,79.3739,78.4793,81.1079,78.85,76.5921,1.4553,-38.9439,-53.7037,0.4,,,,偏空,,-0.03321033210332103,-0.023841937359047292,,,K下穿D,,31228333.85,量能異常,,CCI下穿零軸,,,0.7,2.4,,
2317,2019-07-26,78.4,78.9,78.1,78.4,22089564,36.1119,42.2754,47.1334,49.8315,50.9586,0.7507,0.804,-0.0533,16.2162,53.4977,66.7332,27.0265,79.96,79.55,78.9,77.2217,79.2241,78.4734,81.0698,78.9,76.7302,1.4085,-43.4221,-57.4074,0.8,,,死亡交叉,偏空,,-0.00254452926208637,-0.0438883006577975,,,,,31277192.55,,,,,,0.0,1.9,,
2317,2019-07-29,78.3,78.7,78.0,78.4,18209593,36.1119,42.2754,47.1334,49.8315,50.9586,0.6293,0.7691,-0.1397,16.2162,41.0705,58.179,6.8535,79.52,79.58,78.85,77.0583,79.0973,78.468,81.0175,78.85,76.6825,1.3579,-51.0569,-57.4074,0.3,,,,偏空,,0.0,-0.24745989694744222,,,,,30298870.65,,,,,,0.0,0.5,,
2317,2019-07-30,78.7,78.8,77.6,77.8,27716754,29.6766,37.0611,43.1519,46.8992,49.0486,0.4792,0.7111,-0.2319,5.1282,29.0897,48.4826,-9.6959,78.9,79.36,78.785,76.94,78.8977,78.4185,80.9961,78.785,76.5739,1.3466,-71.2084,-68.5185,-2.2,,,,偏空,,-0.007653061224489943,-0.2779858256485091,,,,接近支撐位,30607407.5,,,,,動量轉負,0.0,1.1,,
2317,2019-07-31,78.2,78.7,77.7,78.6,23732224,45.7802,47.1929,49.4749,51.0364,51.589,0.42,0.6529,-0.2329,25.641,27.9402,41.6351,0.5503,78.36,79.29,78.84,76.8067,78.8519,78.4319,80.9739,78.84,76.7061,1.3218,-53.9216,-53.7037,-0.7,跌破MA20,,,偏空,,0.010282776349614275,-0.0376186595253504,,,,,30259408.0,,,,,,0.0,2.0,,
2317,2019-08-01,77.8,78.4,77.6,77.9,31383363,36.6107,40.5322,44.6469,47.5457,49.3293,0.3129,0.5849,-0.2719,7.6923,21.1909,34.8204,-6.0681,78.22,79.18,78.85,76.6733,78.7055,78.3925,80.9642,78.85,76.7358,1.2988,-81.2604,-66.6667,-1.1,,,,偏空,,-0.008905852417302684,-0.12811182339719746,,,,接近支撐位,31114753.8,,,,,,0.0,0.5,,
2317,2019-08-02,76.5,76.6,75.5,75.5,51771742,19.7,25.9065,32.5474,37.9596,42.6101,0.0341,0.4747,-0.4407,0.0,14.1273,27.9227,-13.4636,77.64,78.8,78.715,76.5267,78.2123,78.1783,81.2757,78.715,76.1543,1.3775,-196.1481,-100.0,-3.8,,突破下軌,,偏空,,-0.030808729139923052,-0.4215261947947009,,,,接近支撐位,33156176.05,量能異常,,CCI超賣,WILLR超賣,,3.4000000000000004,0.5,買入,多頭3.4分
2317,2019-08-05,74.9,74.9,72.6,72.8,49484279,11.9426,17.5804,24.3117,30.5075,36.7045,-0.4002,0.2997,-0.7,2.2472,10.1672,22.0042,-13.5067,76.52,78.02,78.405,76.345,77.3797,77.7799,82.0318,78.405,74.7782,1.4863,-252.6606,-97.7528,-7.8,,突破下軌,,偏空,,-0.03576158940397356,-0.7838595004003269,,接近超賣,,接近支撐位,34659073.35,,EMA死亡交叉,CCI超賣,WILLR超賣,,3.0999999999999996,1.8,買入,多頭3.1分
2317,2019-08-06,71.0,73.6,70.7,73.3,40168974,19.2987,22.9317,28.0574,33.1257,38.3655,-0.696,0.1006,-0.7966,30.2326,16.8557,20.288,9.991,75.62,77.26,78.175,76.2133,76.752,77.448,82.4298,78.175,73.9202,1.5872,-207.3379,-75.9259,-7.6,,突破下軌,,偏空,,0.006868131868131844,-0.6200540962337149,,接近超賣,,接近支撐位,35623085.3,,,CCI超賣,,,2.3,0.5,,
2317,2019-08-07,73.6,73.9,72.8,72.9,26458601,17.8108,21.6215,26.8752,32.0843,37.538,-0.9517,-0.1099,-0.8419,26.8293,20.1802,20.2521,20.0365,74.48,76.42,77.925,76.1,76.1594,77.1111,82.7627,77.925,73.0873,1.5524,-133.4974,-79.6296,-8.4,,突破下軌,,偏空,,-0.005457025920873049,-0.6630457512209409,,接近超賣,,接近支撐位,35940692.5,,,CCI超賣,,,2.3,0.5,,
2317,2019-08-08,72.8,73.7,72.7,73.1,18743614,21.5891,24.1496,28.5478,33.2149,38.2374,-1.1253,-0.313,-0.8123,29.6296,23.33,21.2781,27.4339,73.52,75.87,77.67,76.0217,75.6887,76.814,82.9411,77.67,72.3989,1.513,-105.8686,-77.7778,-5.5,,,,偏空,,0.00274348422496562,-0.6717717230506781,,接近超賣,K上穿D,接近支撐位,35855017.2,,,CCI超賣,,,2.3,0.5,,
2317,2019-08-12,73.2,74.3,72.8,73.7,17609546,33.1187,31.8439,33.6098,36.6234,40.3415,-1.2006,-0.4905,-0.7101,37.037,27.899,23.485,36.727,73.16,75.4,77.475,75.985,75.3828,76.5834,83.0233,77.475,71.9267,1.512,-78.6265,-72.2222,-4.7,,,,偏空,,0.008207934336525335,-0.5466610975048922,,,,,35412051.1,,,,,,0.0,0.5,,
